PSLLQ_m_xmm;Lp_m_x.tmp;16;PSLLQ;m128;xmm;;
PSLLW_m_xmm;Lp_m_x.tmp;16;PSLLW;m128;xmm;;
PSRAD_m_xmm;Lp_m_x.tmp;16;PSRAD;m128;xmm;;
PSRAW_m_xmm;Lp_m_x.tmp;16;PSRAW;m128;xmm;;
PSRLD_m_xmm;Lp_m_x.tmp;16;PSRLD;m128;xmm;;
PSRLQ_m_xmm;Lp_m_x.tmp;16;PSRLQ;m128;xmm;;
PSRLW_m_xmm;Lp_m_x.tmp;16;PSRLW;m128;xmm;;
PSUBB_m_xmm;Lp_m_x.tmp;16;PSUBB;m128;xmm;;
PSUBD_m_xmm;Lp_m_x.tmp;16;PSUBD;m128;xmm;;
PSUBQ_m_xmm;Lp_m_x.tmp;16;PSUBQ;m128;xmm;;
PSUBSB_m_xmm;Lp_m_x.tmp;16;PSUBSB;m128;xmm;;
PSUBSW_m_xmm;Lp_m_x.tmp;16;PSUBSW;m128;xmm;;
PSUBUSB_m_xmm;Lp_m_x.tmp;16;PSUBUSB;m128;xmm;;
PSUBUSW_m_xmm;Lp_m_x.tmp;16;PSUBUSW;m128;xmm;;
PSUBW_m_xmm;Lp_m_x.tmp;16;PSUBW;m128;xmm;;
PTEST_m_xmm;Lp_m_x.tmp;16;PTEST;m128;xmm;;
PUNPCKHBW_m_xmm;Lp_m_x.tmp;16;PUNPCKHBW;m128;xmm;;
PUNPCKHDQ_m_xmm;Lp_m_x.tmp;16;PUNPCKHDQ;m128;xmm;;
PUNPCKHQDQ_m_xmm;Lp_m_x.tmp;16;PUNPCKHQDQ;m128;xmm;;
PUNPCKHWD_m_xmm;Lp_m_x.tmp;16;PUNPCKHWD;m128;xmm;;
PUNPCKLBW_m_xmm;Lp_m_x.tmp;16;PUNPCKLBW;m128;xmm;;
PUNPCKLDQ_m_xmm;Lp_m_x.tmp;16;PUNPCKLDQ;m128;xmm;;
PUNPCKLQDQ_m_xmm;Lp_m_x.tmp;16;PUNPCKLQDQ;m128;xmm;;
PUNPCKLWD_m_xmm;Lp_m_x.tmp;16;PUNPCKLWD;m128;xmm;;
PXOR_m_xmm;Lp_m_x.tmp;16;PXOR;m128;xmm;;
RCPPS_m_xmm;Lp_m_x.tmp;16;RCPPS;m128;xmm;;
RSQRTPS_m_xmm;Lp_m_x.tmp;16;RSQRTPS;m128;xmm;;
SQRTPD_m_xmm;Lp_m_x.tmp;16;SQRTPD;m128;xmm;;
SQRTPS_m_xmm;Lp_m_x.tmp;16;SQRTPS;m128;xmm;;
SUBPD_m_xmm;Lp_m_x.tmp;16;SUBPD;m128;xmm;;
SUBPS_m_xmm;Lp_m_x.tmp;16;SUBPS;m128;xmm;;
UNPCKHPD_m_xmm;Lp_m_x.tmp;16;UNPCKHPD;m128;xmm;;
UNPCKHPS_m_xmm;Lp_m_x.tmp;16;UNPCKHPS;m128;xmm;;
UNPCKLPD_m_xmm;Lp_m_x.tmp;16;UNPCKLPD;m128;xmm;;
